Company,Headline,Link
Infosys,"Infosys stock falls nearly 7% after Q4, hits 5-year low; weak guidance, mixed brokerage views weigh",https://www.moneycontrol.com/news/business/stocks/infosys-stock-falls-over-3-after-q4-top-nifty-loser-weak-guidance-mixed-brokerage-views-weigh-13898182.html
Infosys,"Infosys stock call: Brokerages turn cautious, flag weak guidance despite Q4 earnings beat; check target prices",https://www.moneycontrol.com/news/business/earnings/infosys-stock-call-brokerages-turn-cautious-flag-weak-guidance-despite-q4-earnings-beat-check-target-prices-13898159.html
Infosys,"Infosys Q4 net profit rises 28% QoQ to Rs 8,501 crore, beats Street; guides FY27 growth at 1.5%-3.5% CC",https://www.moneycontrol.com/news/business/earnings/infosys-q4-net-profit-rises-28-qoq-to-rs-8-501-crore-beats-estimates-co-declares-rs-25-dividend-13897513.html
Infosys,"Infosys shares jump over 5% after Q3 results; brokerages upbeat on guidance hike, deal wins",https://www.moneycontrol.com/news/business/stocks/infosys-shares-jump-over-4-after-q3-results-brokerages-upbeat-on-guidance-hike-deal-wins-13774937.html
Infosys,"Will Infosys stock rise today post Q3 results, 8% ADR jump? Brokerages bullish; check target prices",https://www.moneycontrol.com/news/business/earnings/will-infosys-stock-rise-today-post-q3-results-8-adr-jump-brokerages-bullish-check-target-prices-13774890.html
Infosys,Infosys shares gain 1.3% today as AWS collaboration on generative AI lifts sentiment,https://www.moneycontrol.com/news/business/infosys-shares-gain-1-3-today-as-aws-collaboration-on-generative-ai-lifts-sentiment-13760885.html
Infosys,Gainers & Losers: 10 stocks that moved the most on July 21,https://www.moneycontrol.com/news/photos/business/stocks/gainers-losers-10-stocks-that-moved-the-most-on-july-21-3-11002591.html
Infosys,Gainers & Losers: 10 stocks that moved the most on July 18,https://www.moneycontrol.com/news/photos/business/stocks/gainers-losers-10-stocks-that-moved-the-most-on-july-18-2-10980871.html
Infosys,Street isn’t anticipating pricing compression for IT companies: Girish Pai,https://www.moneycontrol.com/news/business/street-isnt-anticipating-pricing-compression-for-it-companies-girish-pai-10431541.html
Infosys,"Porinju Veliyath feels IPOs of Mamaearth, OYO are risky propositions",https://www.moneycontrol.com/news/business/markets/this-wealth-manager-finds-planned-ipos-of-mamaearth-oyo-risky-propositions-9930051.html
Infosys,Infosys Q4 Earnings Preview | Profit may grow 15-20 percent on year; Revenue likely to increase 24 percent,https://www.moneycontrol.com/news/business/earnings/infosys-q4-earnings-preview-profit-may-grow-15-20-percent-on-year-revenue-likely-to-increase-24-percent-8350521.html
Infosys,US listed shares of Infosys plunge 16% after whistleblower complaints,https://www.moneycontrol.com/news/business/markets/infosys-us-listed-shares-plunge-16-after-whistleblower-complaints-4555321.html
Infosys,Nifty Headstart: Nifty likely to open flat; CPI inflation data eyed,https://www.moneycontrol.com/news/business/markets/nifty-headstart-nifty-likely-to-open-flat-cpi-inflation-data-eyed-4087181.html
Infosys,Market Headstart: Nifty likely to open lower; 3 stocks that could return 5-12%,https://www.moneycontrol.com/news/business/markets/market-headstart-nifty-likely-to-open-lower-3-stocks-that-could-return-5-12-3289451.html
Infosys,"Podcast | Stock picks of the day: Break above 10,900 in futures could trigger fresh rally",https://www.moneycontrol.com/news/business/markets/podcast-stock-picks-of-the-day-break-above-10900-in-futures-could-trigger-fresh-rally-3288721.html
Infosys,Infosys inks 7-yr deal with CMA CGM Group,https://www.moneycontrol.com/news/trends/it/infosys-inks-7-yr-deal-with-cma-cgm-group-2391983.html
Infosys,"STPI`s Woman Entrepreneur of the Year (IT) 2015 Award to Sangeeta Kulkarni, Co-founder & CEO, Brickwork India",https://www.moneycontrol.com/news/business/wire-news/stpi`s-woman-entrepreneurthe-year-(it)-2015-award-to-sangeeta-kulkarni-co-founderceo-brickwork-india-1480257.html
Infosys,Accenture raises full-year revenue forecast for 3rd time,https://www.moneycontrol.com/news/world/international-results/accenture-raises-full-year-revenue-forecast-for-3rd-time-1457807.html
Infosys,22 more developers seek Govt approval to cancel SEZs,https://www.moneycontrol.com/news/business/companies/22-more-developers-seek-govt-approval-to-cancel-sezs-1491329.html
Infosys,"Cognizant profit rises as customers spend on IT, consulting",https://www.moneycontrol.com/news/world/international-results/cognizant-profit-rises-as-customers-spendit-consulting-1613207.html
Infosys,Phaneesh Murthy's exit sends iGate shares 10% lower,https://www.moneycontrol.com/news/business/markets/-1820839.html
Infosys,Infosys FY14 revenue guidance at 6-10%,https://www.moneycontrol.com/news/business/companies/-1085525.html
Infosys,Infosys expects FY operating margin of 26%: CFO,https://www.moneycontrol.com/news/business/companies/-1669833.html
Infosys,Indian cos invest USD 2.31 billion overseas in November,https://www.moneycontrol.com/news/business/companies/-1690753.html
Infosys,"Plan in place for struggling Infosys, but no quick returns",https://www.moneycontrol.com/news/business/companies/-1870427.html
Infosys,Watch,
Infosys,Advisory Alert:,
Infosys,Trending Topics,
Infosys,News,
Infosys,Markets,
Infosys,Personal Finance,
Infosys,Mutual Funds,
Infosys,Tools,
Infosys,Community,
Infosys,Network 18 Sites,
Infosys,Quick Links,
Infosys,You got30 Day’s Trialof,
TCS,"TCS employee's death: Two booked for abetment over colleague's 'suicide', company says it is ascertaining facts",https://www.moneycontrol.com/news/business/tcs-employee-s-death-two-booked-for-abetment-over-colleague-s-suicide-company-says-it-is-ascertaining-facts-13948357.html
TCS,"TCS ties up with Anthropic, to roll out Claude AI access to 50,000 employees",https://www.moneycontrol.com/news/business/tcs-ties-up-with-anthropic-to-roll-out-claude-ai-access-to-50-000-employees-13946875.html
TCS,No further downsizing planned; still need to attract the best talent: TCS Chairman N Chandrasekaran,https://www.moneycontrol.com/news/business/information-technology/no-further-downsizing-planned-still-need-to-attract-the-best-talent-tcs-chairman-n-chandrasekaran-13945259.html
TCS,"Far from being mortal threat, AI is the most significant opportunity yet for TCS: Chairman N Chandrasekaran",https://www.moneycontrol.com/news/business/information-technology/far-from-being-mortal-threat-ai-is-the-most-significant-opportunity-yet-for-tcs-chairman-n-chandrasekaran-13945124.html
TCS,TCS launches new business unit to help enterprises build AI-native GCCs; appoints Soumen Roy to lead,https://www.moneycontrol.com/news/business/information-technology/tcs-launches-new-business-unit-to-help-enterprises-build-ai-native-gccs-appoints-soumen-roy-to-lead-13944024.html
TCS,TCS bags 'multi-million euro' AI transformation mandate from Canada Life,https://www.moneycontrol.com/news/business/information-technology/tcs-bags-multi-million-euro-ai-transformation-mandate-from-canada-life-13943632.html
TCS,"TCS partners Mistral to build custom AI models for enterprises, sets up dedicated CoE",https://www.moneycontrol.com/news/business/tcs-partners-mistral-to-build-custom-ai-models-for-enterprises-sets-up-dedicated-coe-13934773.html
TCS,TCS offers higher variable payouts of 60-80% for mid and senior employees in Q4,https://www.moneycontrol.com/news/business/information-technology/tcs-offers-higher-variable-payouts-of-60-80-for-mid-and-senior-employees-in-q4-13927735.html
TCS,TCS partners with Rezolve Ai to enter agentic AI commerce market,https://www.moneycontrol.com/news/business/information-technology/tcs-partners-with-rezolve-ai-to-enter-agentic-ai-commerce-market-13916766.html
TCS,TCS Nashik row: Inside the FIR trail and how a small unit drew outsized scrutiny,https://www.moneycontrol.com/news/business/information-technology/tcs-nashik-row-inside-the-fir-trail-and-how-a-small-unit-drew-outsized-scrutiny-13894061.html
TCS,TCS Nashik case: Police sends three teams to search for accused Nida Khan,https://www.moneycontrol.com/news/business/information-technology/tcs-nashik-case-police-sends-three-teams-to-search-for-accused-nida-khan-13892300.html
TCS,TCS Nashik case: No POSH complaints from employees who filed FIRs,https://www.moneycontrol.com/news/business/information-technology/tcs-nashik-case-no-posh-complaints-from-employees-who-filed-firs-13892267.html
TCS,‘Made to work alone on rooftop’: TCS Nashik woman employee makes explosive ‘soft targets’ claim,https://www.moneycontrol.com/city/made-to-work-alone-on-rooftop-tcs-nashik-woman-employee-makes-explosive-soft-targets-claim-article-13890397.html
TCS,"TCS Nashik sexual harassment case a failure of internal systems, processes: Industry experts",https://www.moneycontrol.com/news/business/information-technology/tcs-nashik-sexual-harassment-case-a-failure-of-internal-systems-processes-industry-experts-13888278.html
TCS,"A first for TCS: Revenue growth falls despite strong deals, margins",https://www.moneycontrol.com/news/business/information-technology/a-first-for-tcs-revenue-growth-falls-despite-strong-deals-margins-13885457.html
TCS,Buy Tata Consultancy Services; target of Rs 3450: Prabhudas Lilladher,https://www.moneycontrol.com/news/business/stocks/buy-tata-consultancy-services-target-of-rs-3450-prabhudas-lilladher-13885283.html
