Company,Headline,Link
Infosys,Hindi,https://hindi.moneycontrol.com
Infosys,Gujarati,https://gujarati.moneycontrol.com/
Infosys,"HDFC BankINE040A01034, HDFCBANK, 500180",https://www.moneycontrol.com/india/stockpricequote/banks-private-sector/hdfcbank/HDF01
Infosys,"Vodafone IdeaINE669E01016, IDEA, 532822",https://www.moneycontrol.com/india/stockpricequote/telecommunication-service-provider/vodafoneidea/IC8
Infosys,"InfosysINE009A01021, INFY, 500209",https://www.moneycontrol.com/india/stockpricequote/computers-software/infosys/IT
Infosys,"Suzlon EnergyINE040H01021, SUZLON, 532667",https://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/suzlonenergy/SE17
Infosys,"Ola ElectricINE0LXG01040, OLAELEC, 544225",https://www.moneycontrol.com/india/stockpricequote/auto-ancillaries-brakes/olaelectricmobility/OEM
Infosys,My Alerts,https://www.moneycontrol.com/my-alerts
Infosys,Go Ad-Free,https://www.moneycontrol.com/promos/pro.php
Infosys,"Hello, Login",#
Infosys,My Profile,#
Infosys,My Portfolio,#
Infosys,My Watchlist,#
Infosys,My Alerts,https://www.moneycontrol.com/my-alerts
Infosys,My Messages,#
Infosys,Price Alerts,#
Infosys,My Profile,https://www.moneycontrol.com/portfolio-management/user/update_profile
Infosys,My PRO,https://www.moneycontrol.com/promos/pro.php
Infosys,My Portfolio,https://www.moneycontrol.com/india/bestportfoliomanager/investment-tool
Infosys,My Watchlist,https://www.moneycontrol.com/watchlist
Infosys,My Alerts,https://www.moneycontrol.com/my-alerts
Infosys,My Messages,https://mmb.moneycontrol.com/
Infosys,Price Alerts,https://www.moneycontrol.com/alerts/manage-alerts.php
Infosys,Logout,https://www.moneycontrol.com/mcplus/portfolio/logout.php?ref=https://www.moneycontrol.com/mcplus/portfolio/loginportfolio.php
Infosys,Loans up to₹50 LAKHS,https://www.moneycontrolpay.com/
Infosys,Fixed Deposits,https://www.moneycontrol.com/fixed-deposit
Infosys,Credit CardsLifetimeFree,https://www.moneycontrol.com/credit-cards
Infosys,Credit Score,https://www.moneycontrol.com/credit-score
Infosys,Loan against MFs,https://www.moneycontrolpay.com/loan-against-mutual-funds/
Infosys,Chat with Us,#
Infosys,PRO,https://www.moneycontrol.com/pro-top-stories
Infosys,Markets,https://www.moneycontrol.com/stocksmarketsindia/
Infosys,HOME,https://www.moneycontrol.com/stocksmarketsindia/
Infosys,HOME,https://www.moneycontrol.com/stocksmarketsindia/
Infosys,INDIAN INDICES,https://www.moneycontrol.com/markets/indian-indices/
Infosys,All Stats,https://www.moneycontrol.com/stocks/marketstats/index.php
Infosys,Top Gainers,https://www.moneycontrol.com/stocks/market-stats/top-gainers-nse/
Infosys,Top Losers,https://www.moneycontrol.com/stocks/market-stats/top-losers-nse/
Infosys,Only Buyers,https://www.moneycontrol.com/stocks/market-stats/only-buyers-nse/
Infosys,Only Sellers,https://www.moneycontrol.com/stocks/market-stats/only-sellers-nse/
Infosys,52 Week High,https://www.moneycontrol.com/stocks/market-stats/52-week-high-nse/
Infosys,52 Week Low,https://www.moneycontrol.com/stocks/market-stats/52-week-low-nse/
Infosys,Price Shockers,https://www.moneycontrol.com/stocks/market-stats/price-shockers-nse/
Infosys,Volume Shockers,https://www.moneycontrol.com/stocks/market-stats/volume-shockers-nse/
Infosys,Most Active Stocks,https://www.moneycontrol.com/stocks/market-stats/most-active-stocks-nse/
Infosys,STOCK UPDATES,https://www.moneycontrol.com/markets/stockupdates/
Infosys,GLOBAL MARKETS,https://www.moneycontrol.com/markets/global-indices/
Infosys,GLOBAL MARKETS,https://www.moneycontrol.com/markets/global-indices/
Infosys,TECHNICAL TRENDS,https://www.moneycontrol.com/markets/technical-trends/
Infosys,OPEN INTEREST TRENDS,https://www.moneycontrol.com/markets/open-interest-trends/options
Infosys,TRENDING STOCKS,https://www.moneycontrol.com/stocks/market-stats/most-visited-trending-stocks/
Infosys,UNLISTED SHARES,https://www.moneycontrol.com/markets/unlisted-shares/top-companies/
Infosys,ECONOMIC CALENDAR,https://www.moneycontrol.com/economic-calendar
Infosys,ECONOMIC INDICATORS,https://www.moneycontrol.com/economic-indicators/
Infosys,Fundamental Scanner,https://www.moneycontrol.com/stock-scanner/fundamental/
Infosys,Technical Scanner,https://www.moneycontrol.com/stock-scanner/technical/
Infosys,EARNINGS,https://www.moneycontrol.com/markets/earnings/
Infosys,EARNINGS,https://www.moneycontrol.com/markets/earnings/
Infosys,SECTOR ANALYSIS,https://www.moneycontrol.com/markets/sector-analysis
Infosys,IPO,https://www.moneycontrol.com/ipo/
Infosys,US MARKETS,https://www.moneycontrol.com/us-markets
Infosys,PRE MARKET,https://www.moneycontrol.com/markets/premarket/
Infosys,F&O,https://www.moneycontrol.com/markets/fno-market-snapshot
Infosys,FII & DII Activity,https://www.moneycontrol.com/markets/fii-dii-data/
Infosys,Corporate Action,https://www.moneycontrol.com/markets/corporate-action/
Infosys,PRO STOCK LISTS,https://www.moneycontrol.com/pro-stock-lists/
Infosys,SEASONALITY ANALYSIS,https://www.moneycontrol.com/markets/seasonality-analysis/
Infosys,ETFs,https://www.moneycontrol.com/etfs-exchange-traded-funds/
Infosys,ETFs,https://www.moneycontrol.com/etfs-exchange-traded-funds/
Infosys,BIG SHARK PORTFOLIOS,https://www.moneycontrol.com/india-investors-portfolio/
Infosys,STOCK IDEAS,https://www.moneycontrol.com/markets/stock-ideas/
Infosys,BONDS,https://www.moneycontrol.com/bonds/
Infosys,DEALS,https://www.moneycontrol.com/markets/stock-deals/
Infosys,Bulk Deals,https://www.moneycontrol.com/markets/stock-deals/bulk-deals/
Infosys,Block Deals,https://www.moneycontrol.com/markets/stock-deals/block-deals/
Infosys,Intraday Large Deals,https://www.moneycontrol.com/markets/stock-deals/large-deals/
Infosys,COMMODITY,https://www.moneycontrol.com/commodity/
Infosys,CURRENCY,https://www.moneycontrol.com/markets/currencies/
Infosys,CRYPTOCURRENCY,https://www.moneycontrol.com/crypto-market/market-movers/top-cryptos/inr
Infosys,News,https://www.moneycontrol.com/news/
Infosys,LATEST NEWS,https://www.moneycontrol.com/news/
Infosys,LATEST NEWS,https://www.moneycontrol.com/news/
Infosys,Elections 2026,https://www.moneycontrol.com/elections/assembly-election/
Infosys,BUSINESS,https://www.moneycontrol.com/news/business/
Infosys,Economy,https://www.moneycontrol.com/news/business/economy/
Infosys,Companies,https://www.moneycontrol.com/news/business/companies/
Infosys,Mutual Funds,https://www.moneycontrol.com/news/business/mutual-funds/
Infosys,Personal Finance,https://www.moneycontrol.com/news/business/personal-finance/
Infosys,IPO,https://www.moneycontrol.com/news/business/ipo/
Infosys,Startup,https://www.moneycontrol.com/news/business/startup/
Infosys,Real Estate,https://www.moneycontrol.com/news/business/real-estate/
Infosys,Bank Holidays 2026,https://www.moneycontrol.com/banking/bank-holidays/
Infosys,Banking,https://www.moneycontrol.com/banking/
Infosys,India,https://www.moneycontrol.com/news/india/
Infosys,City,https://www.moneycontrol.com/city/
Infosys,World,https://www.moneycontrol.com/world/
Infosys,Politics,https://www.moneycontrol.com/news/politics/
Infosys,Politics,https://www.moneycontrol.com/news/politics/
Infosys,Defence,https://www.moneycontrol.com/defence/
Infosys,MARKETS,https://www.moneycontrol.com/news/business/markets/
Infosys,Stocks,https://www.moneycontrol.com/news/business/stocks/
Infosys,Technical Analysis,https://www.moneycontrol.com/news/tags/technical-analysis.html
Infosys,Equity Research,https://www.moneycontrol.com/equity-research/
Infosys,Commodities,https://www.moneycontrol.com/news/business/commodities/
Infosys,Currency,https://www.moneycontrol.com/markets/currencies/
Infosys,Gold Rate,https://www.moneycontrol.com/news/gold-rates-today/
Infosys,Silver Rate,https://www.moneycontrol.com/news/silver-rates-today/
Infosys,AQI,https://www.moneycontrol.com/aqi/
